변환,원자료
"2019/07","1.68"
"2019/08","1.49"
"2019/09","1.54"
"2019/10","1.46"
"2019/11","1.52"
"2019/12","1.53"
"2020/01","1.47"
"2020/02","1.42"
"2020/03","1.23"
"2020/04","1.10"
"2020/05","1.02"
"2020/06","0.79"
"2020/07","0.79"
"2020/08","0.68"
"2020/09","0.63"
"2020/10","0.63"
"2020/11","0.66"
"2020/12","0.66"
"2021/01","0.68"
"2021/02","0.73"
"2021/03","0.75"
"2021/04","0.74"
"2021/05","0.68"
"2021/06","0.66"
"2021/07","0.69"
"2021/08","0.77"
"2021/09","0.98"
"2021/10","1.08"
"2021/11","1.17"
"2021/12","1.27"
"2022/01","1.39"
"2022/02","1.50"
"2022/03","1.50"
"2022/04","1.64"
"2022/05","1.77"
"2022/06","1.99"
